PERIODO;MES;PER;DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;CLASE;FEX_C18;DPTO;FFT;DSCY;DSI;P7250;P7280;P744;P3074;P7260;P1806;P7430;P7440S1;P7440S2;P7450;P7350;P7360;P9460;P1519;P1883;P7422;P7422S1;OFICIO1_C8;OFICIO2_C8;RAMA2D_D_R4;RAMA4D_D_R4;P7440
20230626;06;2023;7453288;1;1;1;70;;1;655.81286444;70;1;;;;;;;;;1;60;0;4;4;1;2;2;;2;;.;6111;01;0113;
20230626;06;2023;7453288;1;2;1;70;;1;655.81286444;70;1;;;;;;;;;1;60;0;4;4;1;2;2;;2;;.;3322;47;4792;
20230626;06;2023;7453289;1;4;1;70;;1;843.80839333;70;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20230626;06;2023;7453289;1;5;1;70;;1;843.80839333;70;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20230626;06;2023;7453290;1;1;1;70;;1;778.95949277;70;1;;;;;;;;;1;18;0;6;3;1;2;2;;2;;.;9111;97;9700;
20230626;06;2023;7453293;1;3;1;70;;1;2130.3403085;68;1;;;;;;;;;1;240;0;5;4;1;2;2;;2;;.;7115;31;3110;
20230626;06;2023;7453296;1;1;1;70;;1;1295.322565;68;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20230626;06;2023;7453297;1;4;1;70;;2;1266.7510673;68;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20230626;06;2023;7453301;1;1;1;70;;1;1703.4459827;68;1;;;;;;;;;1;3;0;4;4;1;2;2;;2;;.;7233;33;3312;
20230626;06;2023;7453301;1;2;1;70;;1;1703.4459827;68;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20230626;06;2023;7453301;1;3;1;70;;1;1703.4459827;68;1;;;;;1;;48;1000000;1;24;0;3;1;4;2;2;;2;;.;5223;47;4729;
20230626;06;2023;7453302;1;1;1;70;;1;1590.4829253;68;1;;;;;;;;;1;12;0;8;4;1;2;2;;2;;.;7422;95;9522;
20230626;06;2023;7453302;1;2;1;70;;1;1590.4829253;68;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20230626;06;2023;7453303;1;1;1;70;;1;1387.8456054;68;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20230626;06;2023;7453304;1;1;1;70;;1;1597.184806;68;1;;;;;;;;;1;108;0;4;1;3;2;2;;2;;.;5131;56;5611;
20230626;06;2023;7453304;1;3;1;70;;1;1597.184806;68;;1;1;4;1;;;48;13000000;1;1;0;1;1;3;2;2;;2;;9313;9313;41;4111;
20230626;06;2023;7453305;1;2;1;70;;1;912.14597172;68;1;;;;;;;;;1;180;0;7;4;2;2;2;;2;;.;6111;01;0114;
20230626;06;2023;7453305;1;3;1;70;;1;912.14597172;68;1;;;;;;;;;1;600;0;7;4;2;2;2;;2;;.;6111;01;0114;
20230626;06;2023;7453306;1;1;1;70;;1;1205.5645454;68;1;;;;;;;;;1;9;1;4;4;2;2;2;;2;;.;7231;45;4520;
20230626;06;2023;7453306;1;3;1;70;;1;1205.5645454;68;1;;;;;2;5;;300000;1;9;1;7;6;2;2;2;;2;;.;7231;45;4520;
